genus,X1.14.2015.abundance,X1.19.2014.abundance,X1.25.2015.abundance,X1.26.2013.abundance,X1.6.2015.abundance,X10.10.2013.abundance,X10.2.2013.abundance,X10.23.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X11.6.2012.abundance,X12.14.2013.abundance,X12.17.2014.abundance,X12.7.2014.abundance,X2.17.2014.abundance,X2.17.2014.1.abundance,X2.23.2015.abundance,X2.25.2013.abundance,X2.8.2015.abundance,X3.23.2014.abundance,X3.24.2013.abundance,X4.29.2013.abundance,X4.3.2012.abundance,X4.7.2013.abundance,X5.4.2014.abundance,X5.4.2014.1.abundance,X6.16.2014.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X8.7.2012.abundance,X9.24.2013.abundance,X9.25.2013.abundance,X9.28.2014.abundance,X9.3.2013.abundance
Hydrogenoanaerobacterium,0.000269,0,0.000104,0.000116,5e-05,0,0,0,0,0,0,0,0.000175,6.3e-05,0,0,0.00047,0.000401,0,0.000305,0,0.000344,0.000111,0,0,2.1e-05,0.000241,0.000204,4.5e-05,5.1e-05,0,0,0,4.3e-05,0,7.5e-05,0,0,0,0
Granulicatella,0.000152,0,0,0,0,0,5.1e-05,3e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0.000285,0,4.3e-05,0,8e-06,0,0,0,0,0,0,0,0,0,0
Coprococcus,0.003478,0.023585,0.012983,0.026954,0.003137,0.006824,0.007105,0.013507,0.013963,0.012004,0.005768,0.025516,0.015387,0.003181,0.004898,0.006285,0.003491,0.005739,0.005789,0.005143,0.007356,0.007844,0.005662,0.003715,0.008025,0.005544,0.008151,0.01404,0.013511,0.005751,0.00917,0.007136,0.01557,0.009553,0.003294,0.006974,0.008073,0.010874,0.0049,0.008901
Phascolarctobacterium,0.000972,0.000735,0.001639,0.000985,0.000751,0.000788,0.000953,0.000913,0.002289,0.00265,0.001691,0.000638,0.006289,0.007679,0.000492,0.001603,0.010737,0.012448,0.006638,0.000803,0.000927,0.012205,0.001499,0.004682,0.004012,0.001306,0.004946,0.004646,0.002427,0.005935,0.01026,0.00063,0.014896,0.008033,0.020358,0.002411,0.000865,0.00042,0.001755,0.002161
Victivallis,0.000176,0.000224,0,0,1.5e-05,0.000882,9.3e-05,2e-05,0.000123,0.000242,0,0,7e-05,0.000435,0,0,0.000503,0.000251,0,0,4.1e-05,7.7e-05,0,2.6e-05,0,1.4e-05,0.000196,2e-05,6e-05,0.000572,1.8e-05,0.000207,0,0.000333,0,0,0.000382,0.00031,4.7e-05,0.000361
Dorea,0.006148,0.025397,0.042304,0.020764,0.00771,0.004771,0.014893,0.013051,0.008884,0.016775,0.019645,0.019512,0.014264,0.012582,0.01902,0.018221,0.005648,0.019525,0.009837,0.022629,0.028066,0.008762,0.01349,0.016112,0.019344,0.010497,0.018273,0.016062,0.015127,0.011016,0.01892,0.016154,0.020956,0.012578,0.017024,0.021738,0.018815,0.006558,0.008463,0.015586
Desulfosporosinus,9.4e-05,0,5.2e-05,0,0.000143,0,0,0,0,0,0,8e-05,0,0,7.4e-05,2.3e-05,0.000122,7e-06,0.000109,0,0,0,0.000111,0,0,5.6e-05,6e-06,3.6e-05,0,0,0,0,0,2.9e-05,0,0,3.2e-05,0,0,0
Ruminococcus,0.084842,0.073824,0.166875,0.054098,0.090402,0.025157,0.044029,0.049097,0.076178,0.064757,0.081178,0.103313,0.05127,0.057287,0.099366,0.066771,0.069414,0.173899,0.228514,0.063919,0.120526,0.155303,0.075164,0.032155,0.056833,0.043677,0.135839,0.099675,0.181225,0.042177,0.044767,0.026165,0.095859,0.106053,0.059307,0.062212,0.068187,0.049879,0.082352,0.050737
Peptostreptococcus,0.000644,0.006398,0.00013,4.8e-05,0.000368,0.001684,0.003004,0.000487,0.013285,0.000393,0.000347,2.7e-05,0.000137,0.000126,1e-05,0,0.035729,0.002518,0,0.004985,6.2e-05,0,0.000278,0.000328,0,0.027129,0.000804,0.018192,0,0.002548,0.000703,0.000146,0.000168,0,0.001409,2e-04,0.000149,0.000205,0,0.000106
Sarcina,0.003665,0.000938,0.00052,7.5e-05,0.000604,0.001641,0.000667,9.1e-05,0.000173,0.000131,0.001288,0.001102,0.001406,0.000144,0.000452,0.000346,0.000216,0.000466,0.000609,0.002758,0.001216,0,0.000999,0.000726,0.00024,0.001334,0.000403,0.000247,0.000125,2e-04,0.00029,0.001138,0.008248,0.000608,0.001865,0.000455,0.00018,8.6e-05,0.001414,0.000338
Marvinbryantia,0.000222,0.001939,0.002029,0.000965,0.000252,0.000347,0.000456,0.001116,0.000185,0.000181,0.000467,0.000903,0.002154,0.001557,0.000718,0.000381,0.000611,0.001173,0.000653,0.002362,0.003771,0.000727,0.002332,0.001019,0,0.000459,0.000602,0.000629,0.001181,0.000572,8.8e-05,0.000464,0.000673,0.000362,0.000377,0.000635,0.000456,0.000315,0.000552,0.000546
Subdoligranulum,0.000152,0.002397,0.000494,0.03525,0.00211,0.001424,0.002801,0.001532,0.002774,0.003073,0.000545,0.017626,0.02786,0.002293,0.007106,0.004417,0.005211,0.003327,0.002633,0.00182,0.006676,0.004706,0.000888,0.012233,0.02108,0.000584,0.003813,0.007718,0.006886,0.012535,0.002778,0.000756,0.000168,5.8e-05,0.003314,0.030108,0.001125,0.002232,0.003069,0.003141
Akkermansia,0.007378,0.049818,0.065694,0.021063,0.011532,2.2e-05,5.9e-05,0,1.6e-05,3.5e-05,0.000241,0,0.012355,0.0061,0.00058,2.3e-05,0.011418,0.020432,0.000131,0.014378,0.003709,0.007155,0.000278,0.004086,0.025991,0.000618,0.007852,0.007487,0.005394,0.002963,0.000158,8.5e-05,0.000842,0.012404,0.011885,0.001971,6.4e-05,0.000491,0.000329,0.000162
Veillonella,2.3e-05,9.1e-05,0,2.7e-05,3.5e-05,4.3e-05,0.000312,0.000264,0.000136,0.000191,5e-05,0.000199,0.00021,0.000129,0.000275,0.000265,9e-06,4e-05,0,0,8.2e-05,0.000459,0,0.001616,0,0.000347,4.3e-05,4.3e-05,7e-05,0,9.7e-05,8e-06,0,0.000203,0,0.002707,0.000191,4.8e-05,0.000205,0.000333
Campylobacter,2.3e-05,7.5e-05,0,0,0,1.4e-05,0,0,8e-06,0,1.4e-05,0,0,6e-06,0.000177,0,0.000226,7e-06,0,2.3e-05,0,0,0,1.7e-05,0,2.8e-05,0,1.3e-05,0,0,0,0,0,0,0,0,0,0,2.9e-05,0
Tetragenococcus,0.000937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,0,0
Dialister,0.005832,0.018556,0.004605,0.011952,0.002409,0.00681,0.009898,0.008443,0.010425,0.005501,0.005831,0.00251,0.00244,0.00412,0.005483,0.002099,0.000865,0.002059,0.000522,0.010297,0.005543,0.005127,0.007994,0.01003,0.015152,0.015617,0.006156,0.003385,0.003618,0.000603,0.000554,0.010913,0.006733,0.003734,0.003433,0.035111,0.008784,0.00982,0.002835,0.011834
Pantoea,0.014111,0.011193,0,9.5e-05,0.000376,0.003275,5.9e-05,2e-05,0.000242,0.001849,1.4e-05,0,6e-06,0.000201,0,0,0.000305,2.2e-05,0,0.000124,0,0,0.000111,6e-05,0.00012,6.9e-05,6e-06,4.6e-05,3e-05,0.000176,0,0.000289,0.003282,0.00013,0.017143,0,0.024882,2.4e-05,3.5e-05,0.00019
Pseudomonas,5.9e-05,2.1e-05,0,0,5.4e-05,0.000145,3.4e-05,2e-05,0.000185,0,0.000149,0,3.5e-05,1.8e-05,0.003221,0.000265,5.2e-05,9.1e-05,0.000239,0,4.1e-05,0,0,0.000838,0,0.000153,7.3e-05,4e-05,1e-05,0.000121,0,0,0,0,0.000119,0,1.1e-05,0,0.000252,7.9e-05
Enterorhabdus,2.3e-05,0,0.000208,0,0,5.8e-05,3.4e-05,7.1e-05,8e-06,2e-05,1.4e-05,0,0,0,1e-05,9.2e-05,0,7e-06,0,0,0,0,0,0,0,0,4.3e-05,2.3e-05,1e-05,0,0,4.1e-05,0.000252,2.9e-05,0,0,0,0,0,0
Christensenella,2.3e-05,0.000416,5.2e-05,0.000156,5.4e-05,0.001121,0.001207,0.000822,0.000551,0.000353,7.1e-05,0,0.000181,0.000288,0.000221,8.1e-05,0.000127,0.000302,0,0.000237,4.1e-05,0.000574,0,0.000121,0,9e-05,0.000232,0.000142,0.00014,0.000188,0.000703,0.000707,0,5.8e-05,0,3.5e-05,0.000579,0.001407,2.3e-05,0.000449
Collinsella,0.000351,0.006601,0.001925,0.002127,0.000252,0.001135,0.001232,0.003877,0.005695,0.001209,0.001698,0.001528,0.007272,0.001089,0.000777,0.000519,0.000597,0.001928,4.4e-05,0.001424,0.003338,0.000497,0.002387,0.004095,0.003593,0.000695,0.001705,0.002236,0.001136,0.002051,0.001143,0.00298,0.001178,0.003387,0.005734,0.000685,0.002537,0.00237,0.001221,0.001198
Candidatus Arthromitus,2.3e-05,0,0.000208,0,8e-06,0,0,0,0,0,7.8e-05,0,0,0,3.4e-05,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2e-05,0
Bacillus,4.7e-05,3.2e-05,0.000104,2.7e-05,7.4e-05,1.4e-05,0.000101,0.000122,2.5e-05,0,1.4e-05,0,6e-06,3.3e-05,0,0.000104,0,1.1e-05,0,7.9e-05,0,0,0,0,0,0.000104,3.1e-05,0,0,0,0,8e-06,0,0,0,1e-05,2.1e-05,1.4e-05,0,3.7e-05
Gemella,0.000609,0.001657,0,1.4e-05,0.000271,0.0024,0.001662,0.000122,0.004799,0.000332,9.9e-05,0,1e-05,9.6e-05,2e-05,0,0.014989,0.001039,0,0.001447,0,0,0,0.000138,0,0.014797,0.000403,0.004498,0,0.001272,0.000835,0.00015,0.001599,0,6e-05,0.000165,0.000159,0.000305,0,8.3e-05
Parabacteroides,0.058482,0.030197,0.019929,0.010151,0.035754,0.017726,0.013467,0.005581,0.011431,0.00602,0.029652,0.001979,0.017779,0.025521,0.017889,0.026858,0.005996,0.005889,0.013515,0.045111,0.006862,0.019437,0.028367,0.019257,0.004671,0.04087,0.016474,0.010961,0.010093,0.00413,0.010963,0.013129,0.030971,0.044016,0.030001,0.012943,0.006465,0.013669,0.008698,0.014804
Faecalibacterium,0.015505,0.056083,0.014336,0.122505,0.153468,0.127008,0.160082,0.192805,0.131116,0.1203,0.039637,0.207489,0.115144,0.039277,0.148613,0.151625,0.037218,0.065614,0.158067,0.011326,0.168992,0.118343,0.00816,0.102218,0.036412,0.007684,0.072826,0.062975,0.140071,0.119324,0.139919,0.199306,0.006733,0.004545,0.13538,0.08507,0.142552,0.133482,0.167949,0.101234
Anaerotruncus,0.003384,0.010106,0.001353,0.011245,0.001421,0.003043,0.008573,0.008595,0.00127,0.000791,0.000347,0.000252,0.007587,0.005272,0.0012,0.001315,0.008674,0.011318,0.000392,0.01301,0.000701,0.003788,0.001221,0.006566,0.016948,0.003571,0.004677,0.003391,0.003113,0.002842,0.001169,0.002537,0.002104,0.001838,0.002917,0.004828,0.001141,0.005261,0.000646,0.001013
Streptococcus,0.000164,0.000693,5.2e-05,0.005442,0.000441,0.004215,0.001316,0.001806,0.000723,0.005964,0.000821,0.003374,0.005767,0.000576,0.00506,0.000957,0.004116,0.000871,0,0.010489,0.00544,0.000689,0.002887,0.002834,0.003713,0.003745,0.003125,0.003708,5e-05,0.002987,0.000765,0.000943,0.004208,0.001418,0.000198,0.006809,0.00207,0.00393,0.001015,0.000106
Alistipes,0.010305,0.010218,0.013269,0.022184,0.009,0.025302,0.003898,0.014431,0.004647,0.006508,0.009164,0.005751,0.012152,0.010815,0.004765,0.004348,0.011559,0.019481,0.001349,0.019656,0.003812,0.010637,0.015099,0.010142,0.021619,0.015312,0.009871,0.004442,0.004048,0.007614,0.008106,0.002785,0.006396,0.011319,0.013889,0.014919,0.004761,0.006248,0.003645,0.0065
Anaerostipes,0.00527,0.027394,0.068087,0.023543,0.006266,0.007627,0.00994,0.020692,0.024482,0.011813,0.022327,0.025596,0.030796,0.009584,0.01877,0.014865,0.00663,0.025246,0.018129,0.043449,0.034145,0.013162,0.012157,0.010376,0.042101,0.012887,0.022425,0.021379,0.02381,0.009454,0.02394,0.035578,0.019273,0.028934,0.011409,0.018956,0.014463,0.032084,0.012078,0.013023
Anaerosporobacter,0.000433,1.6e-05,0,0.000279,0.000786,0,0,0,0,0,0.000156,0.000558,4.5e-05,0,6.4e-05,0.000657,0.000489,7.3e-05,0.000958,0.000124,0,0.000765,0.003553,2.6e-05,0.001078,0.000174,0.000171,1.3e-05,0.000315,3.1e-05,0.000484,1.6e-05,0,0.00013,0,0.00043,0,0,0.000258,0
Halanaerobium,4.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium,0.100464,0.01017,0.002107,0.022592,0.005185,0.005451,0.006911,0.00273,0.00438,0.000746,0.000885,0.041402,0.043149,0.008381,0.000384,0.004509,0.032834,0.012648,0.001806,0.052458,0.002061,0.002908,0.036194,0.014989,0.019763,0.011115,0.005475,0.152855,0.004994,0.011102,0.000668,0.005709,0.001767,0.000825,0.007262,0.027596,0.001582,0.00156,0.001549,0.00403
Butyricimonas,0.006944,0.003117,0.001743,0.001434,0.003501,0.004178,0.00281,0.001857,0.002264,0.001728,0.005909,0.000478,0.004918,0.004567,0.002218,0.003759,0.005385,0.003382,0.000435,0.004103,0.001669,0.00375,0.009215,0.008501,0.00024,0.006232,0.003275,0.001702,0.001897,0.003159,0.001987,0.001761,0.007238,0.008554,0.002579,0.001766,0.002187,0.003563,0.004249,0.001814
Coprobacillus,0.000375,0.000266,0,1.4e-05,0,1.4e-05,0,2e-05,2.1e-05,0,0,0,0,9.6e-05,0,0,0.004017,0.000674,0,0,0,0,0,0,0,0.000118,1.2e-05,0.000339,0,0,0,0,0,0,6e-05,1e-05,0,0,0,0
Holdemania,2.3e-05,0.000474,0,8.8e-05,8e-06,0.000195,0.000245,0.000142,0.000193,6.5e-05,0,0,0.000137,0.000426,0,3.5e-05,1.4e-05,7.3e-05,0,7.9e-05,0,0,0,6.9e-05,0,9e-05,9.5e-05,2.6e-05,5e-05,3.5e-05,4.4e-05,0.000134,0,2.9e-05,4e-05,0,0.000154,0.000119,0,0.000134
Alkalispirillum,0.000176,0,0,6.8e-05,0,0,0,0,0,0,0,0,2.5e-05,3e-05,0,0,0,9.8e-05,0,3.4e-05,0,0.000115,0,0,0,0,0.000107,2.3e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0
Macellibacteroides,0.000187,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0
Propionispora,2.3e-05,0,5.2e-05,6.1e-05,5.4e-05,0,0,0,0,0,0,0,0,0,1e-05,5.8e-05,0,0,0,2.3e-05,0,0,0,0,0,2.1e-05,1.2e-05,0,0,0,0,0,0,2.9e-05,0.000119,4e-05,0,0,6.5e-05,0
Enterobacter,0.001534,2.1e-05,0,1.4e-05,0.028335,0.011118,0.016158,0.015821,5.3e-05,0.017777,8.5e-05,0,6e-06,0.00012,0,0,8.5e-05,0,0,0.010105,0,0,0,0,0,0,7.9e-05,4.6e-05,1.5e-05,8e-06,0,0,0,0,0.005417,3e-05,0.000149,0.012944,5.3e-05,0
Peptococcus,0.000105,0.000123,5.2e-05,2e-05,1.5e-05,0.00073,0.000785,0.000558,0.00014,0.000237,1.4e-05,0,0,9e-06,8.9e-05,5.8e-05,1.9e-05,7e-06,0,0,0,0.000344,0,5.2e-05,0,0,1.2e-05,2e-05,0.00019,2e-05,0.000185,0.000199,0,0,4e-05,0,0.000308,0.000591,0,0.000199
Finegoldia,3.5e-05,0,0,0,0,0.000925,0,0.000355,2.5e-05,0,0,0.002032,0,1.2e-05,0,0,0.000179,1.8e-05,0,2.3e-05,0,0,0,0,0,0,7.6e-05,5.9e-05,1e-05,1.2e-05,0,8e-06,0.000252,0,0,0,0,0.000286,0,0
Escherichia,4.7e-05,0,0,0.000102,0.000116,0.000123,0.000203,7.1e-05,0.00023,7.1e-05,0.000425,0,0,0.000372,0,2.3e-05,0.000282,0.00012,0,2.3e-05,0,0.000153,0,0,0.00018,9.7e-05,0.000183,0.000115,8.5e-05,0.00018,0.000167,9.8e-05,0,7.2e-05,6e-05,0.00026,0.000372,0.000205,0.001502,0.000204
Marichromatium,2.3e-05,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,2.3e-05,0,0,0,0.001243,0,2.5e-05,4.1e-05,0.000999,5e-05,0,0,0,6e-06,0,0,0,0,0,4.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,4.2e-05,0,0,2.3e-05
