genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Hydrogenoanaerobacterium,0,7.5e-05,0.000175,0.000116,0.000305,0.000111,2.1e-05,0,5.1e-05,0,0,0,0,0,0,6.3e-05,0,0.000401,0.000344,0.000204,4.5e-05,0,4.3e-05,0,0,0,0,0,0,5e-05,0.000269,0.000104,0,0
Granulicatella,0,0,0,0,0,0,0.000285,0,8e-06,0,0,0,0,0,0,0,0,0,0,4.3e-05,0,0,0,0,0,0,0,0,1e-05,0,0.000152,0,0,0
Coprococcus,0.008025,0.006974,0.015387,0.026954,0.005143,0.005662,0.005544,0.003715,0.005751,0.00917,0.007136,0.008901,0.008073,0.013963,0.012004,0.003181,0.023585,0.005739,0.007844,0.01404,0.013511,0.01557,0.009553,0.003294,0.0049,0.005768,0.025516,0.006285,0.004898,0.003137,0.003478,0.012983,0.007356,0.005789
Phascolarctobacterium,0.004012,0.002411,0.006289,0.000985,0.000803,0.001499,0.001306,0.004682,0.005935,0.01026,0.00063,0.002161,0.000865,0.002289,0.00265,0.007679,0.000735,0.012448,0.012205,0.004646,0.002427,0.014896,0.008033,0.020358,0.001755,0.001691,0.000638,0.001603,0.000492,0.000751,0.000972,0.001639,0.000927,0.006638
Victivallis,0,0,7e-05,0,0,0,1.4e-05,2.6e-05,0.000572,1.8e-05,0.000207,0.000361,0.000382,0.000123,0.000242,0.000435,0.000224,0.000251,7.7e-05,2e-05,6e-05,0,0.000333,0,4.7e-05,0,0,0,0,1.5e-05,0.000176,0,4.1e-05,0
Dorea,0.019344,0.021738,0.014264,0.020764,0.022629,0.01349,0.010497,0.016112,0.011016,0.01892,0.016154,0.015586,0.018815,0.008884,0.016775,0.012582,0.025397,0.019525,0.008762,0.016062,0.015127,0.020956,0.012578,0.017024,0.008463,0.019645,0.019512,0.018221,0.01902,0.00771,0.006148,0.042304,0.028066,0.009837
Desulfosporosinus,0,0,0,0,0,0.000111,5.6e-05,0,0,0,0,0,3.2e-05,0,0,0,0,7e-06,0,3.6e-05,0,0,2.9e-05,0,0,0,8e-05,2.3e-05,7.4e-05,0.000143,9.4e-05,5.2e-05,0,0.000109
Ruminococcus,0.056833,0.062212,0.05127,0.054098,0.063919,0.075164,0.043677,0.032155,0.042177,0.044767,0.026165,0.050737,0.068187,0.076178,0.064757,0.057287,0.073824,0.173899,0.155303,0.099675,0.181225,0.095859,0.106053,0.059307,0.082352,0.081178,0.103313,0.066771,0.099366,0.090402,0.084842,0.166875,0.120526,0.228514
Peptostreptococcus,0,2e-04,0.000137,4.8e-05,0.004985,0.000278,0.027129,0.000328,0.002548,0.000703,0.000146,0.000106,0.000149,0.013285,0.000393,0.000126,0.006398,0.002518,0,0.018192,0,0.000168,0,0.001409,0,0.000347,2.7e-05,0,1e-05,0.000368,0.000644,0.00013,6.2e-05,0
Sarcina,0.00024,0.000455,0.001406,7.5e-05,0.002758,0.000999,0.001334,0.000726,2e-04,0.00029,0.001138,0.000338,0.00018,0.000173,0.000131,0.000144,0.000938,0.000466,0,0.000247,0.000125,0.008248,0.000608,0.001865,0.001414,0.001288,0.001102,0.000346,0.000452,0.000604,0.003665,0.00052,0.001216,0.000609
Marvinbryantia,0,0.000635,0.002154,0.000965,0.002362,0.002332,0.000459,0.001019,0.000572,8.8e-05,0.000464,0.000546,0.000456,0.000185,0.000181,0.001557,0.001939,0.001173,0.000727,0.000629,0.001181,0.000673,0.000362,0.000377,0.000552,0.000467,0.000903,0.000381,0.000718,0.000252,0.000222,0.002029,0.003771,0.000653
Subdoligranulum,0.02108,0.030108,0.02786,0.03525,0.00182,0.000888,0.000584,0.012233,0.012535,0.002778,0.000756,0.003141,0.001125,0.002774,0.003073,0.002293,0.002397,0.003327,0.004706,0.007718,0.006886,0.000168,5.8e-05,0.003314,0.003069,0.000545,0.017626,0.004417,0.007106,0.00211,0.000152,0.000494,0.006676,0.002633
Akkermansia,0.025991,0.001971,0.012355,0.021063,0.014378,0.000278,0.000618,0.004086,0.002963,0.000158,8.5e-05,0.000162,6.4e-05,1.6e-05,3.5e-05,0.0061,0.049818,0.020432,0.007155,0.007487,0.005394,0.000842,0.012404,0.011885,0.000329,0.000241,0,2.3e-05,0.00058,0.011532,0.007378,0.065694,0.003709,0.000131
Veillonella,0,0.002707,0.00021,2.7e-05,0,0,0.000347,0.001616,0,9.7e-05,8e-06,0.000333,0.000191,0.000136,0.000191,0.000129,9.1e-05,4e-05,0.000459,4.3e-05,7e-05,0,0.000203,0,0.000205,5e-05,0.000199,0.000265,0.000275,3.5e-05,2.3e-05,0,8.2e-05,0
Campylobacter,0,0,0,0,2.3e-05,0,2.8e-05,1.7e-05,0,0,0,0,0,8e-06,0,6e-06,7.5e-05,7e-06,0,1.3e-05,0,0,0,0,2.9e-05,1.4e-05,0,0,0.000177,0,2.3e-05,0,0,0
Tetragenococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,4.6e-05,0,0,0.000937,0,0,0
Dialister,0.015152,0.035111,0.00244,0.011952,0.010297,0.007994,0.015617,0.01003,0.000603,0.000554,0.010913,0.011834,0.008784,0.010425,0.005501,0.00412,0.018556,0.002059,0.005127,0.003385,0.003618,0.006733,0.003734,0.003433,0.002835,0.005831,0.00251,0.002099,0.005483,0.002409,0.005832,0.004605,0.005543,0.000522
Pantoea,0.00012,0,6e-06,9.5e-05,0.000124,0.000111,6.9e-05,6e-05,0.000176,0,0.000289,0.00019,0.024882,0.000242,0.001849,0.000201,0.011193,2.2e-05,0,4.6e-05,3e-05,0.003282,0.00013,0.017143,3.5e-05,1.4e-05,0,0,0,0.000376,0.014111,0,0,0
Pseudomonas,0,0,3.5e-05,0,0,0,0.000153,0.000838,0.000121,0,0,7.9e-05,1.1e-05,0.000185,0,1.8e-05,2.1e-05,9.1e-05,0,4e-05,1e-05,0,0,0.000119,0.000252,0.000149,0,0.000265,0.003221,5.4e-05,5.9e-05,0,4.1e-05,0.000239
Enterorhabdus,0,0,0,0,0,0,0,0,0,0,4.1e-05,0,0,8e-06,2e-05,0,0,7e-06,0,2.3e-05,1e-05,0.000252,2.9e-05,0,0,1.4e-05,0,9.2e-05,1e-05,0,2.3e-05,0.000208,0,0
Christensenella,0,3.5e-05,0.000181,0.000156,0.000237,0,9e-05,0.000121,0.000188,0.000703,0.000707,0.000449,0.000579,0.000551,0.000353,0.000288,0.000416,0.000302,0.000574,0.000142,0.00014,0,5.8e-05,0,2.3e-05,7.1e-05,0,8.1e-05,0.000221,5.4e-05,2.3e-05,5.2e-05,4.1e-05,0
Collinsella,0.003593,0.000685,0.007272,0.002127,0.001424,0.002387,0.000695,0.004095,0.002051,0.001143,0.00298,0.001198,0.002537,0.005695,0.001209,0.001089,0.006601,0.001928,0.000497,0.002236,0.001136,0.001178,0.003387,0.005734,0.001221,0.001698,0.001528,0.000519,0.000777,0.000252,0.000351,0.001925,0.003338,4.4e-05
Candidatus Arthromitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2e-05,7.8e-05,0,4.6e-05,3.4e-05,8e-06,2.3e-05,0.000208,0,0
Bacillus,0,1e-05,6e-06,2.7e-05,7.9e-05,0,0.000104,0,0,0,8e-06,3.7e-05,2.1e-05,2.5e-05,0,3.3e-05,3.2e-05,1.1e-05,0,0,0,0,0,0,0,1.4e-05,0,0.000104,0,7.4e-05,4.7e-05,0.000104,0,0
Gemella,0,0.000165,1e-05,1.4e-05,0.001447,0,0.014797,0.000138,0.001272,0.000835,0.00015,8.3e-05,0.000159,0.004799,0.000332,9.6e-05,0.001657,0.001039,0,0.004498,0,0.001599,0,6e-05,0,9.9e-05,0,0,2e-05,0.000271,0.000609,0,0,0
Parabacteroides,0.004671,0.012943,0.017779,0.010151,0.045111,0.028367,0.04087,0.019257,0.00413,0.010963,0.013129,0.014804,0.006465,0.011431,0.00602,0.025521,0.030197,0.005889,0.019437,0.010961,0.010093,0.030971,0.044016,0.030001,0.008698,0.029652,0.001979,0.026858,0.017889,0.035754,0.058482,0.019929,0.006862,0.013515
Faecalibacterium,0.036412,0.08507,0.115144,0.122505,0.011326,0.00816,0.007684,0.102218,0.119324,0.139919,0.199306,0.101234,0.142552,0.131116,0.1203,0.039277,0.056083,0.065614,0.118343,0.062975,0.140071,0.006733,0.004545,0.13538,0.167949,0.039637,0.207489,0.151625,0.148613,0.153468,0.015505,0.014336,0.168992,0.158067
Anaerotruncus,0.016948,0.004828,0.007587,0.011245,0.01301,0.001221,0.003571,0.006566,0.002842,0.001169,0.002537,0.001013,0.001141,0.00127,0.000791,0.005272,0.010106,0.011318,0.003788,0.003391,0.003113,0.002104,0.001838,0.002917,0.000646,0.000347,0.000252,0.001315,0.0012,0.001421,0.003384,0.001353,0.000701,0.000392
Streptococcus,0.003713,0.006809,0.005767,0.005442,0.010489,0.002887,0.003745,0.002834,0.002987,0.000765,0.000943,0.000106,0.00207,0.000723,0.005964,0.000576,0.000693,0.000871,0.000689,0.003708,5e-05,0.004208,0.001418,0.000198,0.001015,0.000821,0.003374,0.000957,0.00506,0.000441,0.000164,5.2e-05,0.00544,0
Alistipes,0.021619,0.014919,0.012152,0.022184,0.019656,0.015099,0.015312,0.010142,0.007614,0.008106,0.002785,0.0065,0.004761,0.004647,0.006508,0.010815,0.010218,0.019481,0.010637,0.004442,0.004048,0.006396,0.011319,0.013889,0.003645,0.009164,0.005751,0.004348,0.004765,0.009,0.010305,0.013269,0.003812,0.001349
Anaerostipes,0.042101,0.018956,0.030796,0.023543,0.043449,0.012157,0.012887,0.010376,0.009454,0.02394,0.035578,0.013023,0.014463,0.024482,0.011813,0.009584,0.027394,0.025246,0.013162,0.021379,0.02381,0.019273,0.028934,0.011409,0.012078,0.022327,0.025596,0.014865,0.01877,0.006266,0.00527,0.068087,0.034145,0.018129
Anaerosporobacter,0.001078,0.00043,4.5e-05,0.000279,0.000124,0.003553,0.000174,2.6e-05,3.1e-05,0.000484,1.6e-05,0,0,0,0,0,1.6e-05,7.3e-05,0.000765,1.3e-05,0.000315,0,0.00013,0,0.000258,0.000156,0.000558,0.000657,6.4e-05,0.000786,0.000433,0,0,0.000958
Clostridium,0.019763,0.027596,0.043149,0.022592,0.052458,0.036194,0.011115,0.014989,0.011102,0.000668,0.005709,0.00403,0.001582,0.00438,0.000746,0.008381,0.01017,0.012648,0.002908,0.152855,0.004994,0.001767,0.000825,0.007262,0.001549,0.000885,0.041402,0.004509,0.000384,0.005185,0.100464,0.002107,0.002061,0.001806
Butyricimonas,0.00024,0.001766,0.004918,0.001434,0.004103,0.009215,0.006232,0.008501,0.003159,0.001987,0.001761,0.001814,0.002187,0.002264,0.001728,0.004567,0.003117,0.003382,0.00375,0.001702,0.001897,0.007238,0.008554,0.002579,0.004249,0.005909,0.000478,0.003759,0.002218,0.003501,0.006944,0.001743,0.001669,0.000435
Coprobacillus,0,1e-05,0,1.4e-05,0,0,0.000118,0,0,0,0,0,0,2.1e-05,0,9.6e-05,0.000266,0.000674,0,0.000339,0,0,0,6e-05,0,0,0,0,0,0,0.000375,0,0,0
Holdemania,0,0,0.000137,8.8e-05,7.9e-05,0,9e-05,6.9e-05,3.5e-05,4.4e-05,0.000134,0.000134,0.000154,0.000193,6.5e-05,0.000426,0.000474,7.3e-05,0,2.6e-05,5e-05,0,2.9e-05,4e-05,0,0,0,3.5e-05,0,8e-06,2.3e-05,0,0,0
Alkalispirillum,0,0,2.5e-05,6.8e-05,3.4e-05,0,0,0,0,0,0,0,0,0,0,3e-05,0,9.8e-05,0.000115,2.3e-05,2e-05,0,0,0,0,0,0,0,0,0,0.000176,0,0,0
Macellibacteroides,0,1e-05,0,0,0.000226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-06,0.000187,0,0,0
Propionispora,0,4e-05,0,6.1e-05,2.3e-05,0,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9e-05,0.000119,6.5e-05,0,0,5.8e-05,1e-05,5.4e-05,2.3e-05,5.2e-05,0,0
Enterobacter,0,3e-05,6e-06,1.4e-05,0.010105,0,0,0,8e-06,0,0,0,0.000149,5.3e-05,0.017777,0.00012,2.1e-05,0,0,4.6e-05,1.5e-05,0,0,0.005417,5.3e-05,8.5e-05,0,0,0,0.028335,0.001534,0,0,0
Peptococcus,0,0,0,2e-05,0,0,0,5.2e-05,2e-05,0.000185,0.000199,0.000199,0.000308,0.00014,0.000237,9e-06,0.000123,7e-06,0.000344,2e-05,0.00019,0,0,4e-05,0,1.4e-05,0,5.8e-05,8.9e-05,1.5e-05,0.000105,5.2e-05,0,0
Finegoldia,0,0,0,0,2.3e-05,0,0,0,1.2e-05,0,8e-06,0,0,2.5e-05,0,1.2e-05,0,1.8e-05,0,5.9e-05,1e-05,0.000252,0,0,0,0,0.002032,0,0,0,3.5e-05,0,0,0
Escherichia,0.00018,0.00026,0,0.000102,2.3e-05,0,9.7e-05,0,0.00018,0.000167,9.8e-05,0.000204,0.000372,0.00023,7.1e-05,0.000372,0,0.00012,0.000153,0.000115,8.5e-05,0,7.2e-05,6e-05,0.001502,0.000425,0,2.3e-05,0,0.000116,4.7e-05,0,0,0
Klebsiella,0,0,0,0,4.5e-05,0,0,0,0,0,0,2.3e-05,4.2e-05,0.000999,5e-05,6e-06,0,0,0,0,0,0,0,6e-05,0,0,0,0,0,0.001243,2.3e-05,0,0,0
Oscillibacter,0,0.000205,0.000324,8.8e-05,5.7e-05,0.000777,0.00032,0.000121,0.000724,0.001231,0.003655,0.002854,0.00147,0.003608,0.002463,0.000258,0.000357,0.000306,0.000727,0.000277,0.000701,0.000337,0.000217,0,0.000194,0.000347,0,0.000853,0.000443,0.000112,7e-05,0,4.1e-05,0.000174
Halorhodospira,0,0,0.000159,0,0,0,0,4.3e-05,0,0,0,0,0,1.2e-05,0,0,2.1e-05,7e-06,0,0,1.5e-05,0,0,7.9e-05,0,0,0,0,0,0,0.000105,0,0,0
Lactobacillus,0.00024,0.00062,0.012982,0.001291,0.002837,0.000222,0.003585,0.012708,0.002795,0.015368,0.003119,0.012649,0.001088,0.000736,0.002826,0.004765,0.013335,0.000128,0.003864,0.000458,0.00031,0,0,0,0.000839,2.8e-05,0.00267,4.6e-05,0.001451,5.8e-05,0.000855,0.004163,0.002432,0.001415
Serratia,0.002635,0.000115,0,0.00672,0,0.000389,0.00057,2.6e-05,0.000184,3.5e-05,0.004448,0.005367,0.000186,0.096843,0.009783,0.000516,1.1e-05,0.000339,0.000153,0.000316,4.5e-05,0,0.000593,4e-05,0.001825,0.000616,0,2.3e-05,0,0.000186,0.000187,0,0,4.4e-05
Shigella,0,8.5e-05,0,1.4e-05,0,0,0,0,3.1e-05,0,6.5e-05,6e-05,3.2e-05,2.1e-05,0,3.9e-05,0,0,0,7e-06,0,0,0,4e-05,0.000534,0.000156,0,5.8e-05,0,3.1e-05,3.5e-05,0,0,0
Bilophila,0,0,0.000687,0.000306,0.002905,0.000167,0.003995,0.000605,0.002404,0.001433,0.001504,0.001268,0.000812,0.00277,0.001033,0.002152,0.003138,0.002879,0.00176,0.002838,0.000641,0.003871,0.002591,0.003909,0.000516,0.001599,0,0.001061,0.001352,0.001204,0.002131,0.001587,0.000742,0.000305
Pseudobutyrivibrio,0.007546,0.00888,0.006766,0.003846,0.006601,0.043078,0.009948,0.005546,0.004823,0.004053,0.011751,0.01374,0.008126,0.041189,0.031605,0.024375,0.020511,0.012003,0.028352,0.013612,0.023945,0.025585,0.009828,0.030993,0.014156,0.018619,0.063106,0.016929,0.038567,0.027758,0.017917,0.002914,0.029549,0.02468
Blautia,0.07965,0.069486,0.109558,0.077389,0.111494,0.061008,0.030227,0.051524,0.058239,0.058983,0.125393,0.076076,0.110945,0.083957,0.115464,0.043718,0.112369,0.051362,0.027931,0.049097,0.075127,0.122033,0.063064,0.043711,0.060027,0.085035,0.069561,0.054051,0.052931,0.021744,0.014345,0.116115,0.103876,0.029467
Morganella,0,0,0,0,0.00017,0,0.000222,0,1.2e-05,0,0,0,0,3.7e-05,1.5e-05,2.4e-05,8e-05,2.9e-05,0,0.000333,0,0.000168,0,6e-05,0.00804,0.003347,0,0.022638,0.022325,0.008856,0.004918,0,6.2e-05,0.016584
Providencia,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9e-05,0.000142,0,0.005201,0.006098,0.001115,0.005235,0,0,0.002568
Salmonella,0,0.00014,2.9e-05,0.000116,0.000441,0.000222,0.000174,5.2e-05,4.7e-05,6.2e-05,0.000268,0.00012,0.000111,5.3e-05,5.5e-05,0.000129,0.000448,3.6e-05,0,1.6e-05,2e-05,0.001683,5.8e-05,9.9e-05,0.000739,0.000828,0,0,0,0.001073,0.000281,0,0,0
Eubacterium,0.017787,0.074559,0.024132,0.012074,0.009777,0.087876,0.064734,0.022341,0.031008,0.110626,0.012149,0.079023,0.027016,0.031213,0.065361,0.028867,0.016835,0.012958,0.020661,0.008923,0.050166,0.017253,0.020713,0.005357,0.015611,0.019171,0.007385,0.01046,0.028575,0.015288,0.036138,0.010485,0.012426,0.025071
