Flavobacteriaceae,Chromatiaceae,Syntrophomonadaceae,Verrucomicrobiaceae,Granulosicoccaceae,Pseudomonadaceae,Streptococcaceae,Ruminococcaceae,Methylococcaceae,Peptococcaceae,Eubacteriaceae,Peptostreptococcaceae,Lachnospiraceae,Bacillaceae,Moraxellaceae,Carnobacteriaceae,Ectothiorhodospiraceae,Campylobacteraceae,Lactobacillaceae,Defluviitaleaceae,Hydrogenophilaceae,Rhodospirillaceae,Corynebacteriaceae,Enterococcaceae,Enterobacteriaceae,Cytophagaceae,Sutterellaceae,Coriobacteriaceae,Prevotellaceae,Christensenellaceae,Rikenellaceae,Porphyromonadaceae,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XI. Incertae Sedis,Bacteroidaceae,Desulfovibrionaceae,Bartonellaceae,Acidaminococcaceae,Oscillospiraceae,Cryomorphaceae,Staphylococcaceae,Erysipelotrichaceae,Victivallaceae,Rhodobacteraceae,Synergistaceae,Veillonellaceae,Clostridiaceae,Halanaerobiaceae,Actinomycetaceae,Micrococcaceae,Rhodocyclaceae,Caulobacteraceae,Oceanospirillaceae,Acholeplasmataceae,Flammeovirgaceae,Fusobacteriaceae,Acetobacteraceae,Paenibacillaceae,Aerococcaceae,Neisseriaceae,Leuconostocaceae,Comamonadaceae,Caldicoprobacteraceae,Cellulomonadaceae,Dermatophilaceae,Nocardiaceae,Pasteurellaceae,Geobacteraceae,Oxalobacteraceae,Solirubrobacteraceae,Frankiaceae,Bifidobacteriaceae,Alcanivoracaceae,Thiotrichaceae,Xanthomonadaceae,Rhodothermaceae,Aeromonadaceae,Gracilibacteraceae,Catabacteriaceae,Thermoanaerobacteraceae,Desulfobulbaceae,Gallionellaceae,Erythrobacteraceae,Halomonadaceae,Sphingobacteriaceae,Spirochaetaceae,Puniceicoccaceae,Pseudonocardiaceae,Marinilabiliaceae,Leptospiraceae,Piscirickettsiaceae,Gemmatimonadaceae,Acidobacteriaceae,Leptotrichiaceae,Legionellaceae,Alicyclobacillaceae,Thermoactinomycetaceae,Alteromonadaceae,Helicobacteraceae,Sphingomonadaceae,Coxiellaceae,Bradyrhizobiaceae,Nitrosomonadaceae,Microbacteriaceae,Crenotrichaceae,Desulfohalobiaceae,Brucellaceae,Hyphomonadaceae,Rickettsiaceae,Natranaerobiaceae,Sinobacteraceae,Streptosporangiaceae,Chromobacteriaceae,Burkholderiaceae,Heliobacteriaceae,Thioalkalispiraceae,Streptomycetaceae,Desulfobacteraceae,Clostridiales Family XII. Incertae Sedis,Acidithiobacillaceae,Candidatus Midichloriaceae,Gordoniaceae,Desulfuromonadaceae,Hyphomicrobiaceae,Idiomarinaceae,Proteinivoraceae,Kineosporiaceae,Anaeroplasmataceae,Desulfurobacteriaceae,Succinivibrionaceae,Pasteuriaceae,Rubrobacteraceae,Solibacteraceae,Francisellaceae,Scytonemataceae,Planococcaceae,Geodermatophilaceae,Nitrospinaceae,Nitrospiraceae,Bdellovibrionaceae,Holophagaceae,Pseudoalteromonadaceae,Methylocystaceae,Alcaligenaceae,Trueperaceae,Beijerinckiaceae,Syntrophobacteraceae,Prochlorococcaceae,Opitutaceae,Sporolactobacillaceae,Ferrimonadaceae,Planctomycetaceae,Syntrophorhabdaceae,Methylobacteriaceae,Ignavibacteriaceae,Vibrionaceae,Fibrobacteraceae,Mycobacteriaceae,Thermaceae,Nannocystaceae,Thermoanaerobacterales Family IV. Incertae Sedis,Syntrophaceae,Listeriaceae,Bacillales Family X. Incertae Sedis,Phyllobacteriaceae,Thermolithobacteraceae,Patulibacteraceae,Desulfurellaceae,Promicromonosporaceae,Parvularculaceae,Catenulisporaceae,Nocardioidaceae,date
NA,1.2e-05,3.6e-05,0.006124,NA,2.4e-05,0.000825,0.269808,0.00054,0.000339,0.028879,0.000174,0.181223,7.8e-05,NA,NA,3e-05,6e-06,0.004783,0.000111,NA,0.018262,NA,NA,0.136476,1.2e-05,0.001671,0.001905,0.025233,0.006197,0.010932,0.035892,6e-06,1.8e-05,0.098142,0.007898,2.4e-05,0.007916,0.000291,7.2e-05,0.000255,0.007337,0.000435,1.2e-05,0.000207,0.004321,0.008768,NA,5.1e-05,NA,NA,2.1e-05,NA,9e-06,3e-05,8.1e-05,0.000138,3e-05,NA,NA,2.1e-05,7.8e-05,NA,NA,9e-06,9e-06,8.1e-05,NA,0.000126,NA,NA,0.001131,NA,NA,1.2e-05,NA,9e-06,NA,NA,1.5e-05,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,9e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,1.2e-05,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,1.2e-05,6e-06,6e-06,2.7e-05,6e-06,6e-06,6e-06,9e-06,6e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14.2013
NA,3.7e-05,1.1e-05,0.049973,NA,2.1e-05,0.000719,0.263342,NA,0.000884,0.016867,0.007064,0.291695,3.2e-05,1.1e-05,NA,0.000229,7.5e-05,0.013367,9.6e-05,NA,0.013825,1.1e-05,NA,0.020223,NA,0.000677,0.01131,0.004166,0.005876,0.010282,0.038481,NA,4.8e-05,0.072034,0.013266,NA,0.000746,0.000357,0.00017,1.6e-05,0.021092,0.000224,1.1e-05,0.000101,0.019264,0.01122,NA,9.1e-05,1.1e-05,1.1e-05,1.6e-05,1.6e-05,1.1e-05,1.1e-05,0.00105,0.000112,2.7e-05,1.1e-05,2.7e-05,5.3e-05,0.000309,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.00025,3.2e-05,0.004401,1.1e-05,1.1e-05,0.000485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19.2014
NA,NA,7.7e-05,0.020559,NA,0.000106,0.000918,0.406546,NA,0.000576,0.012965,0.002569,0.182018,2.9e-05,NA,NA,0.000106,7e-06,0.000171,4e-05,NA,0.011763,1.5e-05,NA,0.076994,NA,0.002285,0.005032,0.002165,0.012331,0.01963,0.018552,0.000164,8.7e-05,0.065873,0.009048,NA,0.012758,0.000313,0.000481,7e-06,0.015997,0.000251,NA,0.002576,0.002398,0.014503,NA,0.000244,1.8e-05,7e-06,7e-06,NA,2.2e-05,7e-06,0.000408,3.3e-05,NA,7e-06,7.3e-05,6.6e-05,1.5e-05,NA,NA,NA,NA,3.3e-05,NA,3.6e-05,NA,NA,5.1e-05,NA,NA,NA,NA,NA,NA,3.6e-05,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,1.1e-05,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.1e-05,NA,NA,1.1e-05,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,7e-06,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17.2014
NA,NA,NA,0.007155,NA,NA,0.001033,0.368304,NA,0.000574,0.020661,7.7e-05,0.149526,7.7e-05,NA,NA,0.000115,NA,0.003864,NA,NA,0.015305,NA,NA,0.131428,NA,0.005854,0.002181,0.020776,0.00551,0.010637,0.028199,NA,NA,0.04798,0.006734,NA,0.012205,0.000727,NA,NA,0.011593,7.7e-05,NA,0.000153,0.005586,0.003673,NA,7.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000191,NA,NA,NA,NA,NA,NA,0.000459,NA,NA,NA,7.7e-05,NA,NA,NA,0.000115,NA,NA,7.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23.2014
7e-06,NA,2.6e-05,0.007599,NA,6.6e-05,0.003737,0.269447,NA,0.00053,0.008933,0.019186,0.173381,3.3e-05,1.3e-05,4.9e-05,2.3e-05,1.3e-05,0.000553,5.9e-05,NA,0.000965,4.9e-05,NA,0.081872,1.3e-05,0.002871,0.004089,0.015976,0.004201,0.00456,0.018511,3.3e-05,0.002911,0.052389,0.009236,NA,0.004817,0.000283,2.6e-05,5.3e-05,0.004738,2e-05,3.3e-05,4.6e-05,0.004923,0.153289,7e-06,0.000826,7e-06,7e-06,NA,NA,NA,NA,0.000741,NA,1e-05,7e-06,0.000198,7e-06,7.2e-05,7e-06,NA,NA,2.3e-05,0.000553,NA,0.000207,NA,NA,0.000105,1.6e-05,NA,NA,NA,NA,NA,NA,7e-06,7e-06,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,1e-05,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4.2014
NA,1e-05,1e-05,0.005394,NA,3.5e-05,0.000205,0.413656,NA,0.000641,0.050166,0.000145,0.317152,1.5e-05,1e-05,NA,3.5e-05,NA,0.00031,1e-04,NA,0.002772,2.5e-05,0.000245,0.049351,1e-05,0.001962,0.002497,0.021127,0.002162,0.004058,0.014007,0.000315,2e-05,0.035069,0.004133,NA,0.002472,0.000711,3.5e-05,NA,0.003543,6e-05,1e-05,NA,0.003743,0.005645,NA,2e-05,NA,1e-05,2.5e-05,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,7.5e-05,NA,NA,NA,2e-05,NA,NA,0.00012,NA,NA,0.000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16.2014
0.000168,NA,NA,0.000842,NA,NA,0.004713,0.207793,NA,0.00303,0.017253,0.000168,0.366857,NA,NA,NA,NA,NA,NA,NA,NA,0.003114,NA,0.000252,0.010436,NA,0.000168,0.003619,0.044437,0.002693,0.006565,0.043848,NA,0.003619,0.043175,0.014055,NA,0.014896,0.000337,NA,NA,0.016748,NA,NA,NA,0.006733,0.010015,NA,NA,NA,NA,0.000168,NA,NA,NA,0.002104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11.2014
NA,2.9e-05,NA,0.012535,NA,NA,0.002461,0.193767,NA,0.001303,0.020713,0.000463,0.218866,NA,NA,NA,NA,NA,NA,8.7e-05,NA,0.024548,NA,2.9e-05,0.088973,NA,2.9e-05,0.005442,0.090783,0.002591,0.011406,0.062775,4.3e-05,NA,0.057434,0.01116,NA,0.008945,0.000217,NA,2.9e-05,0.005052,0.000333,2.9e-05,NA,0.004082,0.001824,NA,7.2e-05,2.9e-05,NA,NA,NA,5.8e-05,8.7e-05,2.9e-05,7.2e-05,NA,NA,NA,4.3e-05,8.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,4.3e-05,4.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22.2014
7.9e-05,4e-05,NA,0.011885,NA,0.000119,0.000437,0.273299,NA,4e-05,0.005357,0.001409,0.184329,NA,NA,NA,7.9e-05,NA,NA,0.000377,NA,0.000357,NA,0.000139,0.142126,NA,0.006429,0.009127,0.004941,0.004861,0.013969,0.041251,NA,NA,0.067382,0.007441,NA,0.020397,NA,0.000774,NA,0.002718,NA,4e-05,6e-05,0.00371,0.009187,NA,0.000119,NA,NA,7.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9e-05,NA,0.000119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25.2014
5.9e-05,1.8e-05,NA,0.000329,1.8e-05,0.000288,0.001121,0.303314,NA,0.000147,0.015623,0.000141,0.20352,NA,2.3e-05,NA,NA,2.9e-05,0.000839,1e-04,1.8e-05,0.003533,NA,NA,0.129555,7e-05,0.003832,0.002764,0.121515,0.001221,0.003844,0.015946,1.2e-05,NA,0.056734,0.002741,NA,0.001913,0.000364,NA,2.3e-05,0.003416,4.7e-05,NA,2.3e-05,0.003222,0.003932,NA,3.5e-05,NA,3.5e-05,5.9e-05,NA,NA,1.2e-05,NA,NA,4.7e-05,NA,1.2e-05,NA,NA,2.9e-05,NA,NA,NA,1.2e-05,1.2e-05,6.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,2.9e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,0.000135,NA,NA,NA,NA,0.006344,NA,1.2e-05,NA,9.4e-05,NA,2.3e-05,NA,1.2e-05,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-05,NA,NA,NA,NA,1.8e-05,1.2e-05,1.2e-05,9.28.2014
2.8e-05,NA,1.4e-05,0.000241,NA,0.000177,0.000927,0.160098,NA,0.000177,0.019256,0.000446,0.306821,1.4e-05,NA,NA,NA,1.4e-05,2.8e-05,4.2e-05,NA,0.006022,NA,NA,0.077901,5.7e-05,0.000701,0.00448,0.121615,0.000856,0.009278,0.04101,NA,1.4e-05,0.056699,0.008973,NA,0.001748,0.000361,3.5e-05,NA,0.011755,NA,4.2e-05,NA,0.006093,0.002873,NA,5e-05,NA,1.4e-05,4.2e-05,NA,NA,1.4e-05,0.000134,NA,2.1e-05,NA,NA,NA,NA,1.4e-05,NA,NA,NA,2.8e-05,1.4e-05,6.4e-05,NA,NA,6.4e-05,1.4e-05,2.8e-05,3.5e-05,NA,NA,NA,NA,NA,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,0.008528,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,3.5e-05,NA,NA,NA,NA,NA,NA,3.5e-05,NA,NA,NA,NA,NA,NA,2.1e-05,5e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.16.2014
0.000106,NA,NA,NA,NA,NA,0.0034,0.356056,2.7e-05,0.000106,0.007385,0.005791,0.348391,5.3e-05,NA,NA,NA,NA,0.002723,0.000146,NA,NA,0.00251,NA,6.6e-05,NA,0.003095,0.002789,4e-05,0.024772,0.005751,0.006987,NA,0.002099,0.052706,0.001209,NA,0.000691,2.7e-05,NA,8e-05,0.002484,2.7e-05,NA,NA,0.002736,0.043262,NA,NA,NA,5.3e-05,0.000173,0.000106,NA,9.3e-05,NA,NA,6.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.000106,NA,NA,NA,NA,0.002364,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,NA,NA,2.7e-05,2.7e-05,NA,NA,NA,NA,NA,2.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,0.002577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22.2014
2.3e-05,2.3e-05,NA,2.3e-05,NA,0.000334,0.000957,0.302985,3.5e-05,0.005305,0.010483,4.6e-05,0.284522,0.000173,NA,2.3e-05,4.6e-05,NA,0.000138,0.000277,9.2e-05,0.006273,2.3e-05,4.6e-05,0.030987,NA,0.010898,0.002041,0.087864,0.001315,0.004521,0.03417,2.3e-05,NA,0.037283,0.004682,NA,0.001707,9e-04,NA,NA,0.004221,NA,4.6e-05,NA,0.002422,0.007334,NA,NA,NA,2.3e-05,9.2e-05,NA,NA,5.8e-05,NA,NA,2.3e-05,NA,NA,5.8e-05,NA,NA,NA,NA,NA,2.3e-05,NA,0.000104,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6e-05,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8e-05,NA,NA,NA,9.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1e-05,2.3e-05,2.3e-05,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7.2014
NA,1.5e-05,NA,0.00058,NA,0.00325,0.005355,0.323938,NA,0.000295,0.028575,0.000477,0.274528,NA,1e-05,3e-05,1.5e-05,0.000177,0.00146,5.4e-05,NA,0.009756,NA,1e-05,0.028777,1e-05,0.010804,0.002621,0.071809,0.001392,0.004971,0.023063,NA,NA,0.055203,0.005463,2e-05,0.000531,0.000536,1e-05,2e-05,0.002114,NA,1e-05,1e-05,0.005871,0.001234,2e-05,NA,NA,NA,1e-05,1e-05,3e-05,1e-05,1e-05,NA,1e-05,NA,3e-05,1e-05,2.5e-05,1e-05,NA,NA,NA,2e-05,1.5e-05,0.000211,1e-05,NA,6.4e-05,NA,NA,3.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,1.5e-05,NA,NA,1.5e-05,NA,NA,NA,NA,4.4e-05,3e-05,NA,NA,NA,1e-05,NA,NA,1e-05,NA,1e-05,NA,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,1.5e-05,NA,NA,NA,1.5e-05,2e-05,NA,NA,NA,2e-05,1.5e-05,1e-05,3.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.17.2014
0.000186,3.1e-05,1.5e-05,0.011644,8e-06,0.000105,0.000441,0.338493,8e-06,0.00036,0.015304,0.00043,0.142072,8.1e-05,NA,1.2e-05,3.1e-05,NA,0.000132,8.1e-05,NA,0.016102,2.7e-05,NA,0.046059,7.4e-05,0.007179,0.001874,0.061045,0.001003,0.009364,0.048522,5.4e-05,0.000124,0.093186,0.006788,NA,0.000786,0.000283,3.1e-05,2.3e-05,0.000689,1.5e-05,2.3e-05,1.5e-05,0.002552,0.011257,3.1e-05,5.4e-05,NA,2.3e-05,1.9e-05,NA,NA,3.5e-05,NA,1.2e-05,0.000205,2.7e-05,NA,8e-06,NA,4.3e-05,NA,NA,7e-05,7.7e-05,NA,2.3e-05,NA,NA,1.5e-05,8e-06,NA,8e-06,NA,0.000778,NA,NA,NA,NA,NA,1.5e-05,8e-06,3.1e-05,2.7e-05,2.3e-05,8e-06,1.5e-05,2.3e-05,8e-06,8e-06,8e-06,8e-06,3.1e-05,0.000604,8e-06,8e-06,4.6e-05,1.9e-05,2.7e-05,8e-06,1.5e-05,8e-06,8e-06,8e-06,8e-06,1.2e-05,8e-06,8e-06,3.1e-05,8e-06,3.5e-05,1.5e-05,1.9e-05,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6.2015
0.000105,4.7e-05,2.3e-05,0.007378,2.3e-05,5.9e-05,0.001476,0.22087,2.3e-05,0.000328,0.036138,0.000644,0.132258,7e-05,2.3e-05,0.000152,0.000281,2.3e-05,0.000855,0.000129,3.5e-05,0.00082,2.3e-05,0.000937,0.03389,3.5e-05,0.000316,0.000984,0.027613,0.005387,0.011031,0.081212,3.5e-05,0.000141,0.131625,0.012261,2.3e-05,0.000972,0.000187,4.7e-05,0.000293,0.002705,0.000176,3.5e-05,8.2e-05,0.005879,0.104785,4.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14.2015
NA,NA,NA,0.065798,NA,7.8e-05,0.000104,0.294073,NA,0.000312,0.010485,0.000208,0.355812,0.000104,NA,NA,NA,NA,0.004163,0.000286,NA,0.00039,0.002732,NA,NA,5.2e-05,NA,0.009626,0.024456,0.004969,0.013997,0.033146,NA,NA,0.033822,0.007805,NA,0.001769,NA,NA,0.00013,0.009756,NA,NA,NA,0.004813,0.003096,NA,5.2e-05,NA,NA,0.001639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8e-05,5.2e-05,0.000104,5.2e-05,5.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25.2015
NA,0.000206,NA,0.003915,NA,0.000185,0.005646,0.402007,NA,4.1e-05,0.012426,0.000412,0.345567,NA,NA,NA,NA,NA,0.002473,0.000103,NA,0.000474,NA,NA,0.000144,0.000124,0.00171,0.007439,0.030621,0.00171,0.004204,0.012446,NA,0.000185,0.032558,0.004533,NA,0.000927,8.2e-05,NA,8.2e-05,0.005543,4.1e-05,4.1e-05,4.1e-05,0.005626,0.00375,NA,8.2e-05,NA,4.1e-05,0.000144,NA,0.000124,NA,NA,NA,NA,NA,NA,NA,0.000124,6.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.000495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1e-05,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8.2015
0.000261,4.4e-05,4.4e-05,0.000131,4.4e-05,0.000283,0.000109,0.468781,NA,0.000152,0.025071,8.7e-05,0.245816,6.5e-05,NA,NA,NA,NA,0.001458,0.000261,6.5e-05,0.000392,NA,4.4e-05,0.019304,NA,0.005484,0.000435,0.021154,0.00037,0.001502,0.014886,NA,NA,0.039805,0.001676,NA,0.006638,0.000348,NA,NA,0.000131,NA,0.000174,NA,0.000609,0.003765,0.000109,4.4e-05,NA,0.000261,0.000174,NA,NA,NA,NA,NA,0.000239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,0.000239,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,0.000152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4e-05,8.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23.2015
